Date,close,oil price
2020/1/2,6985.470215,67.05
2020/1/3,7344.884277,69.08
2020/1/6,7769.219238,70.25
2020/1/7,8163.692383,68.74
2020/1/8,8079.862793,67.31
2020/1/9,7879.071289,66.58
2020/1/10,8166.554199,66.77
2020/1/13,8144.194336,64.14
2020/1/14,8827.764648,64.45
2020/1/15,8807.010742,63.29
2020/1/16,8723.786133,64.63
2020/1/17,8929.038086,64.05
2020/1/20,8657.642578,64.63
2020/1/21,8745.894531,63.66
2020/1/22,8680.875977,62.11
2020/1/23,8406.515625,61.26
2020/1/24,8445.43457,59.34
2020/1/27,8909.819336,58.54
2020/1/28,9358.589844,59.37
2020/1/29,9316.629883,59.46
2020/1/30,9508.993164,57.72
2020/1/31,9350.529297,57.77
2020/2/3,9293.521484,54
2020/2/4,9180.962891,53.9
2020/2/5,9613.423828,55.36
2020/2/6,9729.801758,55.18
2020/2/7,9795.943359,54.53
2020/2/10,9856.611328,53.39
2020/2/11,10208.23633,54
2020/2/12,10326.05469,55.54
2020/2/13,10214.37988,56.34
2020/2/14,10312.11621,57.37
2020/2/17,9690.142578,57.83
2020/2/18,10141.99609,57.35
2020/2/19,9633.386719,59.72
2020/2/20,9608.475586,59.57
2020/2/21,9686.441406,58.6
2020/2/24,9650.174805,56.71
2020/2/25,9341.705078,55.29
2020/2/26,8820.522461,54.96
2020/2/27,8784.494141,52.19
2020/2/28,8672.455078,51.31
2020/3/2,8869.669922,52.52
2020/3/3,8787.786133,52.24
2020/3/4,8755.246094,51.86
2020/3/5,9078.762695,51.29
2020/3/6,9122.545898,45.6
2020/3/9,7923.644531,35.33
2020/3/10,7909.729492,35.57
2020/3/11,7911.430176,34.45
2020/3/12,4970.788086,31.02
2020/3/13,5563.707031,32.25
2020/3/16,5014.47998,27.98
2020/3/17,5225.629395,27.97
2020/3/18,5238.438477,22.79
2020/3/19,6191.192871,23.98
2020/3/20,6198.77832,25.55
2020/3/23,6416.314941,23.75
2020/3/24,6734.803711,24.5
2020/3/25,6681.062988,25.62
2020/3/26,6716.44043,23.55
2020/3/27,6469.79834,22.39
2020/3/30,6429.841797,19.19
2020/3/31,6438.644531,14.85
2020/4/1,6606.776367,14.97
2020/4/2,6793.624512,20.24
2020/4/3,6733.387207,24.33
2020/4/6,7271.78125,22.58
2020/4/7,7176.414551,22.1
2020/4/8,7334.098633,25.22
2020/4/9,7302.089355,20.23
2020/4/14,6842.427734,21.74
2020/4/15,6642.109863,19.8
2020/4/16,7116.804199,18.69
2020/4/17,7096.18457,19.75
2020/4/20,6881.958496,17.36
2020/4/21,6880.323242,9.12
2020/4/22,7117.20752,13.77
2020/4/23,7429.724609,15.06
2020/4/24,7550.900879,15.87
2020/4/27,7795.601074,15.17
2020/4/28,7807.058594,15.6
2020/4/29,8801.038086,17.86
2020/4/30,8658.553711,18.11
2020/5/1,8864.766602,18.49
2020/5/4,8912.654297,20.4
2020/5/5,9003.070313,25.46
2020/5/6,9268.761719,24.2
2020/5/7,9951.518555,24.23
2020/5/11,8601.795898,25.53
2020/5/12,8804.477539,26.67
2020/5/13,9269.987305,27.89
2020/5/14,9733.72168,29.87
2020/5/15,9328.197266,30.95
2020/5/18,9726.575195,33.3
2020/5/19,9729.038086,33.06
2020/5/20,9522.981445,34.76
2020/5/21,9081.761719,34.78
2020/5/22,9182.577148,33.8
2020/5/26,8835.052734,33.95
2020/5/27,9181.017578,32.73
2020/5/28,9525.750977,33.98
2020/5/29,9439.124023,34.15
2020/6/1,10167.26856,36.74
2020/6/2,9529.803711,37.72
2020/6/3,9656.717773,37.98
2020/6/4,9800.636719,38.41
2020/6/5,9665.533203,41
2020/6/8,9771.489258,39.66
2020/6/9,9795.700195,40.45
2020/6/10,9870.094727,41.18
2020/6/11,9321.78125,37.76
2020/6/12,9480.84375,38.54
2020/6/15,9450.702148,39.44
2020/6/16,9538.024414,40.75
2020/6/17,9480.254883,40.47
2020/6/18,9411.84082,41.75
2020/6/19,9288.018555,42.33
2020/6/22,9648.717773,43.2
2020/6/23,9629.658203,42.72
2020/6/24,9313.610352,40.4
2020/6/25,9264.813477,41.18
2020/6/26,9162.917969,40.97
2020/6/29,9190.854492,41.58
2020/6/30,9137.993164,41.64
2020/7/1,9228.325195,42.18
2020/7/2,9123.410156,43.19
2020/7/3,9087.303711,42.92
2020/7/6,9375.474609,42.73
2020/7/7,9252.277344,43.28
2020/7/8,9428.333008,43.67
2020/7/9,9277.967773,42.35
2020/7/10,9278.807617,43.27
2020/7/13,9243.614258,42.85
2020/7/14,9243.213867,42.97
2020/7/15,9192.836914,43.96
2020/7/16,9132.227539,43.71
2020/7/17,9151.392578,43.53
2020/7/20,9164.231445,43.3
2020/7/21,9374.887695,44.31
2020/7/22,9525.363281,43.98
2020/7/23,9581.072266,42.96
2020/7/24,9536.892578,43.29
2020/7/27,10990.87305,43.39
2020/7/28,10912.82324,43.11
2020/7/29,11100.46777,43.51
2020/7/30,11111.21387,42.98
2020/7/31,11323.4668,43.13
2020/8/3,11246.34863,43.76
2020/8/4,11205.89258,43.99
2020/8/5,11747.02246,44.92
2020/8/6,11779.77344,45.04
2020/8/7,11601.47266,44.07
2020/8/10,11878.11133,44.19
2020/8/11,11410.52539,43.68
2020/8/12,11584.93457,45.09
2020/8/13,11784.1377,44.87
2020/8/14,11768.87109,44.86
2020/8/17,12254.40234,44.91
2020/8/18,11991.2334,45.34
2020/8/19,11758.2832,45.21
2020/8/20,11878.37207,44.56
2020/8/21,11592.48926,43.94
2020/8/24,11774.5957,44.43
2020/8/25,11366.13477,46.01
2020/8/26,11488.36328,45.79
2020/8/27,11323.39746,44.84
2020/8/28,11542.5,45.22
2020/9/1,11970.47852,45.72
2020/9/2,11414.03418,42.7
2020/9/3,10245.29688,42.72
2020/9/4,10511.81348,41.1
2020/9/7,10369.56348,40.67
2020/9/8,10131.5166,38.53
2020/9/9,10242.34766,39.98
2020/9/10,10363.13867,39.27
